"","","","I have a reserved and cautious attitude toward life.","I have trouble controlling my impulses.","I generally seek new and exciting experiences and sensations.","I generally like to see things through to the end.","When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.","My thinking is usually careful and purposeful.","I have trouble resisting my cravings (for food, cigarettes, etc.).","I'll try anything once.","I tend to give up easily.","When I am in a great mood, I tend to get into situations that could cause me problems.","I am not one of those people who blurt out things without thinking.","I often get involved in things I later wish I could get out of.","I like sports and games in which you have to choose your next move very quickly.","Unfinished tasks really bother me.","When I am very happy, I tend to do things that may cause problems in my life.","I like to stop and think things over before I do them.","When I feel bad, I will often do things I later regret in order to make myself feel better now.","I would enjoy water skiing.","Once I get going on something I hate to stop.","I tend to lose control when I am in a great mood.","I don't like to start a project until I know exactly how to proceed.","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","I quite enjoy taking risks.","I concentrate easily.","When I am really ecstatic, I tend to get out of control.","I would enjoy parachute jumping.","I finish what I start.","I tend to value and follow a rational, 'sensible' approach to things.","When I am upset I often act without thinking.","Others would say I make bad choices when I am extremely happy about something.","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","I am able to pace myself so as to get things done on time.","I usually make up my mind through careful reasoning.","When I feel rejected, I will often say things that I later regret.","Others are shocked or worried about the things I do when I am feeling very excited.","I would like to learn to fly an airplane.","I am a person who always gets the job done.","I am a cautious person.","It is hard for me to resist acting on my feelings.","When I get really happy about something, I tend to do things that can have bad consequences.","I sometimes like doing things that are a bit frightening.","I almost always finish projects that I start.","Before I get into a new situation I like to find out what to expect from it.","I often make matters worse because I act without thinking when I am upset.","When overjoyed, I feel like I can't stop myself from going overboard.","I would enjoy the sensation of skiing very fast down a high mountain slope.","Sometimes there are so many little things to be done that I just ignore them all.","I usually think carefully before doing anything.","Before making up my mind, I consider all the advantages and disadvantages.","When I am really excited, I tend not to think of the consequences of my actions.","In the heat of an argument, I will often say things that I later regret.","I would like to go scuba diving.","I tend to act without thinking when I am really excited.","I always keep my feelings under control.","When I am really happy, I often find myself in situations that I normally wouldn't be comfortable with.","I would enjoy fast driving.","When I am very happy, I feel like it is ok to give in to cravings or overindulge.","Sometimes I do impulsive things that I later regret.","I am surprised at the things I do while in a great mood.","Negative Urgency Score","lack of Premeditation Score","(lack of) Perseverance Score","Sensation Seeking Score","Positive Urgency Score","Total Score"
"A00054482","Older Adult- Age 65-85","V1","1","3","2","1","4","1","3","2","4","4","1","3","4","3","4","2","4","4","1","4","1","4","4","1","4","4","1","1","2","3","2","1","2","2","3","4","1","1","2","4","4","1","2","2","2","4","3","1","2","2","2","4","2","3","2","4","1","2","2","29","15","13","18","29","104"
"A00061407","ONE_DAY","VA","2","3","3","3","4","1","3","1","3","4","4","4","3","2","3","2","4","2","2","3","1","3","3","2","1","2","2","1","4","1","1","1","1","2","3","2","1","1","2","3","3","1","1","3","3","3","3","2","1","2","3","2","3","2","3","3","3","3","2","23","17","18","32","32","122"
"A00031872","Adult- Age 22-59","V1","2","4","3","1","4","1","4","4","3","4","1","3","2","2","4","1","4","4","3","4","2","4","2","1","4","4","2","1","3","4","3","2","1","4","4","2","1","2","3","4","4","1","1","4","4","3","3","1","1","4","4","4","3","2","4","4","4","3","4","17","14","17","21","15","84"
"A00035588","Adult- Age 22-59","V1","1","3","3","1","3","1","2","4","3","4","4","4","2","1","1","1","4","4","4","4","1","4","4","2","4","4","1","1","2","4","4","1","1","2","4","4","1","1","3","4","4","1","1","4","4","4","4","1","1","4","2","2","4","3","4","4","4","3","4","25","14","15","17","18","89"
"A00052500","ENROLLED","V1","1","3","2","1","2","2","1","2","3","4","3","2","2","1","3","1","3","2","2","3","3","3","2","3","3","3","1","2","3","2","2","2","2","3","3","3","1","2","2","4","3","2","2","2","3","4","3","2","2","2","2","3","3","2","3","3","2","3","2","30","22","17","29","31","129"
"A00064061","ONE_DAY-Age 65-85","VA","3","3","3","2","4","2","4","4","2","4","2","3","3","3","4","2","4","4","2","4","2","3","4","2","4","4","2","1","3","4","4","2","2","3","4","4","2","1","4","4","4","2","2","4","4","4","3","1","2","4","4","4","4","2","4","4","4","3","4","19","20","22","14","14","89"
"A00032007","Adult-Age 18-21","V1","2","3","4","2","3","1","3","3","2","3","2","1","1","2","3","2","2","2","1","3","1","2","4","2","4","3","1","2","4","3","3","4","2","3","4","4","3","1","3","4","3","1","1","3","4","3","1","1","2","3","4","2","4","2","1","4","4","2","4","27","17","23","24","23","114"
"A00061647","ONE_DAY- Age 22-59","VA","3","3","2","2","3","2","3","2","3","3","2","2","2","2","3","2","3","2","2","3","2","3","2","2","3","4","2","2","3","3","2","2","2","3","3","2","2","2","3","3","3","2","2","3","3","3","3","3","2","3","3","2","3","2","3","2","2","2","3","26","24","20","32","29","131"
"A00062368","ONE_DAY- Age 22-59","VA","1","2","3","1","4","2","4","2","2","4","2","3","4","1","4","2","4","2","2","3","2","4","3","2","3","4","1","2","3","4","3","1","2","2","4","4","1","1","3","4","3","1","2","4","4","4","4","2","2","4","2","2","4","3","4","2","4","3","3","24","20","14","24","17","99"
"A00061634","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00040915","Adult-Age 18-21","V1","2","4","3","1","4","1","3","1","1","4","2","3","4","1","4","1","3","1","1","4","3","4","4","1","4","1","1","1","3","4","1","3","1","3","3","1","3","1","4","4","1","1","3","3","4","1","2","2","2","4","3","2","4","2","3","2","2","3","3","21","19","19","38","19","116"
"A00060279","ENROLLED","V1","2","3","1","2","3","1","4","4","3","3","3","3","2","2","4","2","4","1","1","4","1","4","2","2","3","2","2","2","4","4","2","2","1","4","3","1","2","2","4","4","1","2","2","4","3","2","2","2","2","4","4","2","4","1","3","1","3","4","3","14","20","20","39","22","115"
"A00052214","Older Adult- Age 65-85","V1","1","4","4","1","4","1","4","3","3","4","3","2","3","1","4","1","4","4","1","4","1","4","4","2","4","4","2","2","4","4","4","1","2","4","4","4","2","1","2","4","4","2","1","2","4","4","3","2","1","2","2","4","3","2","4","4","4","2","2","23","16","16","14","19","88"
"A00053927","Adult- Age 22-59","V1","2","4","2","2","4","1","4","2","3","4","1","1","1","1","4","1","4","1","2","3","2","4","2","3","4","4","2","1","4","4","4","1","1","3","4","4","2","2","4","4","4","2","1","4","4","2","3","1","1","4","2","2","3","3","4","1","3","3","3","21","14","19","31","18","103"
"A00033180","Adult-Age 18-21","V1","3","3","1","2","2","2","2","1","2","3","2","3","2","3","3","2","3","1","2","3","3","3","1","3","4","1","2","3","4","4","1","2","2","3","2","1","2","3","2","3","1","2","2","3","4","1","3","2","2","2","3","1","3","2","4","1","2","3","3","25","26","23","47","28","149"
"A00033832","Adult- Age 22-59","V1","2","3","4","2","2","2","2","2","2","3","3","2","3","2","3","2","3","4","1","3","1","1","4","3","3","4","2","2","3","3","2","2","2","2","3","2","2","2","1","3","4","2","1","1","3","3","2","2","2","3","2","2","3","3","3","3","2","2","3","36","21","22","23","30","132"
"A00039636","Adult- Age 22-59","V1","2","3","3","2","4","2","1","2","2","3","2","3","2","3","3","2","3","3","3","3","3","3","2","3","3","3","2","2","3","3","2","2","2","2","3","3","2","2","3","3","2","2","2","3","3","3","3","2","2","3","2","3","3","2","3","2","2","2","3","29","23","24","30","28","134"
"A00061881","ONE_DAY- Age 18-21","VA","3","3","1","1","2","2","3","1","4","2","4","4","2","4","4","1","1","4","1","1","1","1","2","4","4","1","3","1","2","4","2","4","1","1","4","2","2","1","3","4","1","4","1","4","4","4","1","1","1","4","2","1","4","1","4","3","4","4","1","28","17","28","36","24","133"
"A00028694","Adult- Age 22-59","V1","2","1","3","2","3","2","1","4","2","4","2","3","4","3","4","2","2","4","2","4","3","2","4","4","4","4","2","2","2","4","4","2","2","4","4","4","2","2","3","4","4","2","2","3","4","4","2","2","2","2","4","4","4","2","4","2","1","2","4","30","23","25","15","20","113"
"A00044427","Older Adult- Age 65-85","V1","2","4","1","1","4","1","4","3","4","4","4","4","2","1","4","1","4","1","2","4","1","4","3","1","4","4","1","1","4","4","3","1","1","4","4","4","1","1","3","4","2","1","1","4","4","2","4","1","1","4","4","2","4","2","3","4","4","4","2","14","15","11","29","17","86"
"A00035960","Adult-Age 18-21","V1","3","3","1","1","4","2","2","3","3","4","3","2","2","3","4","1","4","1","2","4","2","4","1","1","4","1","1","2","3","3","1","2","2","2","4","4","1","2","4","4","2","1","2","4","4","2","4","2","2","2","2","1","2","2","3","1","1","2","3","25","23","15","40","24","127"
"A00066460","ONE_DAY-Age 65-85","VA","2","3","2","1","4","2","3","2","4","4","1","4","2","2","4","2","4","3","2","3","2","4","3","2","4","3","1","2","3","4","3","2","1","4","4","4","1","3","4","4","4","1","1","4","4","2","4","3","2","4","2","2","4","2","4","1","3","4","4","18","21","14","29","16","98"
"A00037377","Adult- Age 22-59","V1","1","4","4","1","4","1","3","4","4","4","1","4","4","1","4","1","4","4","1","4","2","4","4","1","4","4","1","1","4","4","4","1","1","4","4","4","1","2","4","4","4","1","1","4","4","4","4","2","1","4","4","3","4","2","4","4","4","4","4","14","14","10","13","14","65"
"A00061806","ONE_DAY- Age 22-59","VA","2","3","2","2","3","2","2","2","2","3","2","2","2","2","4","2","2","3","2","3","2","2","2","2","2","4","2","2","2","3","2","2","2","3","3","3","2","2","2","3","3","2","2","2","2","4","3","2","2","3","3","2","3","2","3","2","2","3","3","31","22","21","29","30","133"
"A00037848","Adult- Age 22-59","V1","4","4","2","1","4","1","4","2","4","4","3","4","2","1","4","2","4","1","2","4","3","4","4","1","4","4","1","1","4","4","2","1","1","4","4","4","1","2","4","4","4","1","2","4","4","2","3","2","1","4","4","3","4","1","4","2","4","4","4","12","22","12","28","14","88"
"A00039159","Adult-Age 18-21","V1","2","4","1","2","4","2","3","3","4","4","4","4","3","2","4","2","4","1","2","4","3","3","2","2","4","2","2","2","4","4","2","3","2","4","4","2","1","2","4","4","2","1","2","4","4","1","3","2","3","3","4","1","4","2","4","3","3","3","3","16","26","18","37","17","114"
"A00055373","ENROLLED","V1","2","2","1","2","4","1","3","2","4","4","1","3","2","2","3","2","2","3","2","4","1","4","1","1","3","2","2","1","3","4","1","1","1","2","3","1","1","1","2","4","2","3","1","3","3","3","3","1","1","4","3","2","3","2","1","1","1","2","3","28","13","17","39","26","123"
"A00040312","Older Adult- Age 65-85","V1","2","2","2","1","4","1","2","2","3","4","2","2","3","2","4","1","2","4","2","3","2","3","3","2","3","3","2","1","3","4","3","1","2","3","4","2","2","1","3","4","3","1","1","4","4","4","3","2","2","4","4","4","4","2","4","3","4","2","2","27","17","17","24","18","103"
"A00043739","Adult- Age 22-59","V1","3","4","3","2","4","2","3","2","3","4","2","4","3","2","4","2","4","3","2","4","2","4","3","2","4","4","2","1","3","4","3","2","2","4","4","4","1","2","3","4","3","1","2","4","3","4","4","2","1","4","3","3","4","3","4","4","4","4","4","18","21","17","21","15","92"
"A00060371","ENROLLED","V1","3","4","1","1","4","1","4","2","4","4","2","4","3","1","4","1","4","1","2","4","2","4","2","2","4","3","1","1","4","4","1","1","1","4","4","3","1","2","3","4","2","1","2","4","4","1","4","2","2","4","3","1","4","1","4","3","4","4","4","14","19","12","37","14","96"
"A00029219","Older Adult- Age 65-85","V1","2","4","2","2","4","2","4","2","3","4","1","4","3","2","4","1","4","2","2","4","2","4","3","2","4","2","2","2","4","4","2","2","2","4","4","3","1","2","3","4","2","2","2","4","4","1","3","2","2","4","2","1","4","2","4","1","4","4","3","16","20","19","36","15","106"
"A00051796","Older Adult- Age 65-85","V1","1","4","3","2","3","2","4","3","4","3","2","3","3","2","3","2","3","2","3","3","1","3","3","2","3","1","2","2","3","3","2","2","2","3","3","2","2","2","3","4","3","2","2","3","3","2","4","1","1","4","3","3","4","2","3","3","3","3","3","22","18","19","30","25","114"
"A00056098","Adult- Age 22-59","V1","4","2","1","1","3","1","3","1","4","4","4","4","1","4","4","1","4","1","1","1","1","4","1","1","4","1","1","1","4","4","1","1","1","4","4","1","1","4","2","4","1","1","4","4","3","1","3","2","2","3","3","1","3","3","3","1","3","4","4","20","25","14","48","23","130"
"A00055061","Adult- Age 22-59","V1","2","3","3","2","4","2","3","4","3","4","4","3","2","2","4","2","4","4","3","4","3","4","4","2","4","4","2","2","3","4","4","2","2","2","4","4","2","2","4","4","4","2","2","4","4","4","3","2","2","4","2","4","4","2","4","4","3","4","4","21","25","21","15","15","97"
"A00051882","Adult- Age 22-59","V1","2","4","2","1","4","1","4","3","4","4","2","4","2","1","4","2","4","2","2","4","3","4","2","2","4","3","1","1","4","4","1","1","1","3","4","2","1","3","3","4","2","1","2","4","4","1","4","2","2","4","2","2","4","2","4","1","2","3","4","18","21","12","37","16","104"
"A00031459","Adult-Age 18-21","V1","2","3","1","1","4","2","4","3","4","4","3","4","1","1","4","2","4","2","2","3","3","3","3","2","3","1","1","2","4","4","2","2","2","4","4","2","1","2","3","4","2","1","2","4","4","2","3","2","2","4","4","2","4","2","4","1","4","4","3","16","24","14","38","17","109"
"A00040543","Adult-Age 18-21","V1","3","4","2","1","4","2","3","1","4","4","4","4","3","2","4","2","4","1","2","4","4","4","2","2","4","1","1","1","4","4","3","2","2","4","4","3","2","3","4","4","3","2","2","4","4","4","4","2","2","4","4","1","4","2","4","3","4","4","4","14","27","16","33","14","104"
"A00054914","ENROLLED","V1","2","2","2","2","3","2","2","2","3","4","1","2","3","2","4","2","2","4","2","4","1","2","4","2","4","4","2","1","2","4","3","2","2","3","4","4","1","2","3","4","3","2","1","4","4","4","3","2","1","4","3","3","3","2","4","3","2","3","3","29","17","19","21","19","105"
"A00029304","Adult- Age 22-59","V1","2","4","3","2","4","1","3","4","3","4","3","3","2","2","4","2","2","2","2","4","1","3","2","3","4","4","2","1","2","4","2","2","2","2","4","1","2","2","3","4","3","2","2","4","4","4","3","2","2","3","3","4","4","1","2","1","3","3","3","24","20","21","28","19","112"
"A00056306","Adult- Age 22-59","V1","2","2","3","2","4","2","3","3","3","3","3","4","3","3","4","2","3","2","2","3","3","3","4","3","3","4","2","3","2","4","3","2","2","2","4","4","2","3","2","4","4","2","2","3","4","4","3","3","3","3","2","4","3","3","4","4","3","2","3","30","28","22","18","21","119"
"A00055353","Older Adult- Age 65-85","V1","1","4","2","2","4","1","3","2","4","4","2","4","2","2","4","1","4","2","3","4","2","4","2","2","4","3","2","1","4","4","2","2","2","3","4","3","2","1","3","4","2","1","2","3","4","3","3","2","2","3","2","2","4","2","4","3","4","4","3","19","17","19","32","16","103"
"A00039277","Adult- Age 22-59","V1","3","3","1","1","3","1","2","2","4","1","2","2","2","2","4","2","2","1","2","4","3","2","1","2","3","4","2","1","1","4","1","2","1","2","1","1","2","2","1","4","2","1","2","1","2","4","1","2","2","2","2","1","2","2","2","3","2","3","1","36","21","19","37","35","148"
"A00066788","ENROLLED","VA_ALG","1","4","2","2","4","2","2","3","4","4","2","3","3","2","4","2","3","2","3","4","2","4","2","2","3","4","2","1","3","4","2","2","2","2","4","1","2","2","4","4","3","2","1","4","4","2","4","2","2","4","2","3","4","2","4","1","3","3","4","23","19","19","32","16","109"
"A00032875","ONE_DAY","VA-REP","2","3","2","1","2","2","2","2","2","2","3","2","4","1","2","2","2","1","1","2","2","2","2","2","3","2","2","2","2","3","2","2","2","1","3","1","1","2","2","2","2","1","1","2","3","3","2","2","1","2","1","4","2","3","3","4","1","1","1","38","21","17","31","39","146"
"A00039353","Adult- Age 22-59","V1","1","4","4","1","4","1","2","4","3","4","1","4","4","2","4","1","4","4","2","4","1","4","4","1","4","4","1","1","4","4","4","1","1","4","4","4","1","1","4","4","4","1","1","4","4","4","4","1","1","4","4","4","4","1","4","4","3","4","4","14","11","13","12","15","65"
"A00039118","Adult- Age 22-59","V1","1","4","1","1","4","2","1","4","2","4","2","3","2","2","4","2","4","4","1","4","2","4","4","4","3","4","1","2","3","4","4","2","2","4","4","4","2","1","4","4","3","1","1","3","1","4","4","2","2","4","2","4","4","2","4","4","3","4","2","21","19","18","18","21","97"
"A00060923","Older Adult- Age 60-64","V1","2","4","2","1","4","1","3","2","2","4","2","3","3","1","4","1","4","4","1","4","1","4","3","1","4","4","2","1","3","4","3","2","1","2","4","3","1","1","3","3","4","1","1","3","4","3","3","1","1","3","2","2","3","1","2","2","2","3","3","22","13","15","25","22","97"
"A00060301","Older Adult- Age 65-85","V1","4","3","2","2","4","2","2","3","4","4","2","3","2","2","4","2","4","2","2","4","2","4","2","1","4","3","1","1","2","4","2","2","2","3","4","2","2","2","3","4","3","2","2","3","4","2","4","2","2","4","2","1","3","2","4","3","2","2","4","26","23","16","33","17","115"
"A00073942","ENROLLED","VA_ALG","3","4","3","1","4","1","4","2","3","4","1","4","2","3","2","1","2","2","2","3","1","4","2","1","4","2","1","1","3","3","3","2","1","4","4","1","1","2","3","4","3","1","1","3","1","4","4","1","4","1","4","2","2","3","4","4","4","4","2","19","17","15","30","28","109"
"A00031167","Adult- Age 22-59","V1","3","4","2","1","4","1","3","2","4","4","1","3","2","1","4","2","4","1","1","4","2","4","2","2","4","4","2","1","4","4","2","2","1","4","4","4","1","3","3","4","3","2","2","4","4","1","3","3","2","4","3","2","4","2","4","1","2","4","3","17","21","15","34","17","104"
"A00060306","Older Adult- Age 65-85","V1","2","4","3","1","4","2","2","2","4","4","1","2","2","1","4","2","4","2","2","4","3","4","3","3","4","4","2","1","4","4","3","3","1","3","4","2","2","2","4","4","3","1","2","4","4","4","3","2","2","4","3","2","4","2","4","2","4","4","4","19","20","18","28","14","99"
"A00031871","Adult- Age 22-59","V1","2","3","2","2","4","2","3","3","3","4","1","3","2","1","4","2","4","2","1","4","2","4","2","2","4","2","1","1","4","4","2","2","2","3","4","3","2","2","3","4","2","1","2","4","4","3","3","2","2","4","3","2","4","2","4","2","3","4","4","19","20","16","33","15","103"
"A00037122","Adult- Age 22-59","V1","3","4","2","1","4","1","1","1","4","4","1","4","1","1","4","1","4","1","1","4","1","4","1","1","4","1","1","1","4","4","1","1","1","4","4","1","1","2","4","4","1","1","1","4","4","1","4","1","1","4","4","1","4","1","4","1","4","4","4","15","14","10","47","14","100"
"A00032876","Older Adult- Age 60-64","V1","2","2","2","2","4","2","1","3","2","4","4","2","4","2","4","3","2","2","2","4","2","2","3","4","4","2","3","2","3","4","2","3","3","3","4","2","2","2","3","4","3","3","2","3","4","2","1","2","2","3","2","2","4","2","4","4","3","4","4","30","26","28","29","16","129"
"A00054857","ENROLLED","V1","2","4","2","2","4","1","4","4","4","4","2","3","2","1","4","2","4","1","3","4","2","3","2","1","4","1","2","1","3","4","3","2","1","3","4","1","2","2","3","4","4","2","2","3","3","2","4","2","2","4","3","1","4","2","4","3","3","3","2","21","19","17","34","18","109"
"A00037635","Adult- Age 22-59","V1","2","4","2","1","4","1","4","2","4","4","1","4","3","2","4","1","4","1","1","4","2","4","4","1","4","1","1","1","4","4","2","1","1","4","4","1","1","1","4","4","3","1","1","4","4","1","4","1","1","4","4","1","4","1","4","1","4","4","4","12","13","11","38","14","88"
"A00040174","Adult- Age 22-59","V1","3","4","2","2","4","2","1","4","3","4","2","2","4","3","4","3","4","2","3","4","2","4","3","3","4","2","3","2","4","4","3","2","3","4","4","3","3","2","3","4","4","2","2","4","4","2","1","2","2","4","3","2","4","2","4","2","2","3","4","21","25","27","27","16","116"
"A00037439","Adult- Age 22-59","V1","2","4","2","1","4","1","4","1","4","4","4","4","3","2","4","2","4","1","2","4","3","4","4","1","4","3","1","2","2","4","2","1","1","4","4","4","1","1","4","4","2","1","1","4","4","1","4","1","1","4","4","2","4","3","4","4","3","4","4","16","19","12","31","15","93"
"A00065617","ONE_DAY","VA","3","4","2","2","3","2","4","4","4","4","4","4","1","2","4","3","4","2","2","3","2","4","2","2","3","3","1","2","3","4","1","2","2","3","4","4","1","3","2","4","1","1","2","3","3","3","4","2","3","4","3","1","3","2","3","3","4","3","3","20","28","15","33","21","117"
"A00040324","Older Adult- Age 65-85","V1","1","3","3","2","4","3","4","4","1","4","2","3","3","3","3","1","2","4","3","4","3","3","4","3","4","4","3","1","2","3","3","3","3","2","3","3","3","1","4","3","3","3","3","2","3","4","2","3","3","3","2","4","3","2","3","2","4","2","3","28","24","30","19","23","124"
"A00038414","Older Adult- Age 60-64","V1","2","3","2","1","4","2","1","4","4","4","1","4","4","2","4","2","4","4","2","4","2","2","3","2","4","2","2","2","4","4","2","1","2","2","4","4","2","1","2","4","4","2","1","4","3","4","2","2","1","4","2","4","4","3","4","2","2","3","4","27","18","18","21","17","101"
"A00035504","Adult- Age 22-59","V1","3","4","2","1","4","1","4","4","4","4","1","4","2","1","4","1","4","2","2","4","2","3","2","2","4","2","1","2","4","3","2","2","1","4","3","4","1","2","3","4","2","1","2","4","4","3","3","2","1","4","4","3","4","2","4","2","3","3","4","16","18","14","30","17","95"
"A00039463","Adult- Age 22-59","V1","2","2","2","2","3","2","3","2","2","3","2","2","3","2","3","2","2","2","2","2","3","2","1","4","3","1","2","2","3","3","1","3","3","3","2","4","3","2","3","3","1","3","2","3","3","2","2","2","3","2","3","2","3","2","3","2","2","3","2","28","25","27","37","33","150"
"A00059664","Older Adult- Age 60-64","V1","2","4","3","1","4","1","3","3","3","4","1","3","4","1","3","2","3","2","2","4","2","4","4","1","4","4","1","2","3","3","3","2","1","4","3","2","1","1","2","4","4","1","1","3","3","2","4","1","1","3","4","1","3","2","3","2","3","4","3","20","15","13","26","23","97"
"A00028858","Older Adult- Age 65-85","V1","1","4","2","2","4","2","2","2","3","3","3","2","2","2","3","2","4","3","2","3","3","4","4","2","3","3","2","2","4","4","3","2","2","3","3","3","3","2","2","3","3","2","2","4","2","3","2","2","2","3","1","2","2","2","3","4","2","2","3","25","23","22","26","29","125"
"A00055542","Adult- Age 22-59","V1","4","3","2","2","4","2","4","1","3","4","1","3","4","2","4","2","4","2","2","4","4","4","1","1","4","1","1","2","4","4","1","2","2","4","4","1","2","2","4","4","1","1","3","4","4","1","2","2","3","4","4","2","4","2","4","2","2","4","4","15","27","18","41","16","117"
"A00053901","Adult- Age 22-59","V1","2","4","4","2","4","2","3","3","3","4","1","2","2","2","3","2","4","4","2","4","2","4","4","3","4","4","2","2","3","4","4","2","2","2","4","4","2","2","3","4","4","2","2","3","4","4","2","3","2","3","2","4","4","3","4","2","2","2","4","26","22","22","17","18","105"
"A00029230","Adult- Age 22-59","V1","2","4","2","1","4","2","4","2","4","4","1","4","3","1","4","2","4","2","1","4","3","4","3","3","4","4","1","2","4","4","2","3","3","4","4","4","2","1","4","4","4","1","1","4","4","4","4","2","2","4","4","4","4","1","4","4","4","3","4","13","21","15","22","14","85"
"A00063326","ONE_DAY","VA","4","3","2","1","3","1","2","2","4","4","1","2","4","2","3","1","3","2","2","4","3","3","2","2","3","2","1","1","3","4","1","2","1","2","4","1","1","3","3","3","2","2","2","4","3","4","3","2","2","4","1","1","3","2","4","1","3","3","3","28","21","16","36","22","123"
"A00057313","ENROLLED","V1","4","2","1","1","4","2","3","4","4","4","3","4","4","2","4","2","3","4","1","4","2","4","1","2","4","1","1","2","3","4","1","2","3","3","4","1","1","2","1","4","1","2","2","4","4","4","3","2","2","4","4","1","4","4","4","1","3","2","2","26","26","15","36","17","120"
"A00043466","Adult-Age 18-21","V1","2","4","2","2","4","2","4","2","3","3","1","3","2","2","4","1","4","1","1","4","3","4","3","4","3","3","1","2","4","4","3","3","3","3","4","2","2","2","4","4","4","2","1","3","4","2","3","2","2","2","4","3","4","2","3","3","4","4","3","16","21","21","30","20","108"
"A00038998","Adult- Age 22-59","V1","2","2","3","2","3","3","3","2","3","3","1","2","1","2","3","2","2","3","2","3","2","2","2","2","3","4","2","2","2","3","3","2","2","2","2","4","2","2","2","2","2","1","2","3","3","4","3","2","2","2","2","2","2","2","3","3","2","1","2","34","22","19","27","34","136"
"A00039923","Older Adult- Age 65-85","V1","2","2","2","1","4","2","3","2","4","4","3","2","1","2","4","2","4","2","2","4","1","4","2","1","4","2","1","1","4","4","2","1","1","3","4","2","1","2","3","4","2","1","1","4","4","2","4","2","1","4","3","2","4","2","4","2","2","2","4","23","18","12","37","16","106"
"A00061666","ONE_DAY-Age 65-85","VA","2","4","2","2","4","1","2","3","2","4","1","3","4","2","4","1","4","3","3","4","1","4","4","3","4","2","2","1","4","4","3","1","1","4","4","3","2","2","4","4","4","1","1","4","4","2","3","1","1","4","4","2","4","1","4","3","3","4","4","15","13","21","25","15","89"
"A00040784","Older Adult- Age 60-64","V1","2","4","2","1","4","1","2","3","4","4","1","4","3","2","4","1","2","3","2","4","2","3","3","2","4","2","1","2","4","4","2","1","1","4","4","4","1","1","4","4","2","1","1","4","4","2","2","1","1","4","4","2","4","2","4","2","2","4","4","18","14","15","30","16","93"
"A00052197","Adult-Age 18-21","V1","2","3","2","1","3","1","2","2","4","2","3","3","2","2","2","2","3","2","3","3","2","3","2","2","2","4","1","1","4","3","2","2","1","3","3","2","1","2","2","3","2","1","1","4","3","1","4","1","1","3","3","3","3","3","3","1","3","2","2","26","17","15","35","32","125"
"A00062266","ONE_DAY- Age 22-59","VA","3","2","2","1","4","2","1","2","4","3","2","3","3","1","4","2","2","3","1","4","2","2","3","1","3","2","2","2","2","4","2","2","2","2","4","3","1","3","2","4","3","1","1","2","4","3","4","2","2","4","2","2","4","3","4","1","3","2","4","36","23","12","31","17","119"
"A00061485","ONE_DAY-Age 60-64","VA","2","3","3","2","4","1","4","2","3","4","1","3","3","2","4","2","4","1","3","4","2","4","2","3","4","3","3","2","3","4","3","2","2","4","4","3","2","2","3","4","3","1","2","4","4","2","3","2","1","4","3","3","4","2","4","2","4","4","4","18","19","22","30","14","103"
"A00029076","Adult-Age 18-21","V1","2","4","2","1","3","2","3","3","3","3","1","3","3","2","3","2","3","3","3","3","2","3","3","3","4","3","2","2","3","3","3","2","2","4","4","3","2","2","3","4","3","2","2","4","4","4","4","2","2","3","3","2","3","2","3","3","2","4","4","20","21","20","25","24","110"
"A00041505","Adult- Age 22-59","V1","3","3","3","1","4","2","2","1","3","4","3","1","4","2","3","2","3","1","2","4","2","4","3","2","4","1","1","2","1","3","3","1","2","3","4","2","1","3","3","4","3","4","3","2","3","1","3","2","2","3","3","1","2","3","3","3","3","4","2","29","26","18","34","24","131"
"A00058515","ENROLLED","V1","1","4","1","1","4","1","1","1","4","4","4","1","4","1","4","1","4","4","1","4","1","4","1","1","4","4","1","1","4","4","1","1","1","4","4","4","1","1","4","4","1","1","1","4","4","4","4","1","1","1","4","4","1","1","1","1","4","4","1","18","14","10","30","26","98"
"A00039257","Adult- Age 22-59","V1","2","3","3","2","4","2","1","3","3","4","2","2","2","2","3","2","3","3","3","4","3","4","3","3","3","4","2","2","4","4","4","2","2","3","4","4","3","2","2","4","4","2","3","4","4","4","3","3","3","4","4","4","4","2","4","4","4","4","4","23","26","23","18","16","106"
"A00066820","ONE_DAY-Age 65-85","VA","1","3","3","1","4","1","3","2","4","4","1","2","4","2","2","1","1","3","3","3","4","4","2","2","3","4","2","2","2","3","3","2","1","3","4","4","1","2","2","2","4","3","1","1","2","4","4","2","2","4","2","4","4","2","2","4","2","2","2","32","18","18","19","29","116"
"A00035633","Adult- Age 22-59","V1","2","2","2","3","3","3","2","3","2","3","3","2","2","3","3","2","2","2","2","3","3","3","2","4","3","2","3","2","2","3","3","3","2","2","3","2","3","2","2","3","2","3","2","2","3","2","2","2","2","3","2","1","3","3","3","1","2","2","3","35","25","30","36","29","155"
